,Unnamed: 0,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone,firstIntentionConsistFinalGoal
60,53,test,"[1969, 2137, 2297, 2489, 2673, 2865, 3057, 3217, 3425, 3649, 3905, 4041, 4201, 4369, 4577]","[(11, 12), [10, 12], [9, 12], [8, 12], [7, 12], [6, 12], [6, 11], [6, 10], [6, 9], [6, 8], [5, 8], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0,"(11, 12)","(1, 7)","(7, 1)",expRect,0.0,15.0,6.0,29.0,1
61,54,test,"[1835, 2124, 2396, 2516, 2924, 3204, 3340, 3652, 3900, 4188, 4364]","[(5, 6), [5, 5], [6, 5], [7, 5], [7, 4], [7, 3], [6, 4], [7, 4], [8, 4], [8, 3], [8, 2], [9, 2]]","[(0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0)]",[6],"[1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0]",1,"(5, 6)","(9, 2)","(13, 6)",straightLine,0.0,8.0,4.0,4.0,1
62,55,test,"[1794, 2033, 2273, 2537, 2785, 3009, 3297, 3570, 3833, 4065]","[(1, 3), [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [9, 4], [9, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 2, 2, 2, 2, 2, 2, 0, 0]",0,"(1, 3)","(3, 13)","(9, 5)",rect,2.0,10.0,2.0,8.0,1
63,56,test,"[1960, 2176, 2376, 2584, 2752, 2976, 3176, 3392, 4232, 4464, 4848, 5016]","[(5, 1), [5, 2], [5, 3], [5, 4], [5, 5], [6, 5], [7, 5], [7, 7], [8, 8], [8, 7], [8, 6], [8, 5], [9, 5]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0)]","[7, 8]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,"(5, 1)","(9, 5)","(13, 1)",straightLine,0.0,8.0,4.0,4.0,1
64,57,test,"[1986, 2178, 2370, 2546, 2698, 2810]","[(4, 2), [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [10, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[2, 2, 2, 2, 2, 2]",0,"(4, 2)","(4, 12)","(10, 2)",none,4.0,6.0,6.0,0.0,1
65,58,test,"[1990, 2110, 2222, 2422, 2613, 2806]","[(2, 5), [3, 5], [4, 5], [6, 5], [7, 5], [8, 5], [9, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[7, 3]","[0, 0, 0, 0, 2, 2]",2,"(2, 5)","(7, 9)","(9, 5)",straightLine,2.0,7.0,2.0,5.0,1
66,59,test,"[1920, 2120, 2328, 2561, 2800, 3008, 3296, 3568, 3768, 4056]","[(2, 3), [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [7, 4], [8, 4], [8, 5], [9, 5], [10, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0)]",[11],"[0, 0, 2, 2, 2, 0, 2, 0, 2, 2]",1,"(2, 3)","(4, 13)","(10, 5)",rect,2.0,10.0,2.0,8.0,1
67,60,test,"[1947, 2163, 2379, 2571, 2779, 2979]","[(2, 5), [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 1, 1, 1, 1]",0,"(2, 5)","(2, 11)","(9, 2)",none,4.0,6.0,6.0,0.0,1
68,61,test,"[1667, 1875, 2067, 2275, 2467, 2683, 2867, 3083, 3299, 3507, 3771, 4059]","[(2, 5), [2, 6], [2, 7], [2, 8], [2, 9], [1, 8], [1, 9], [1, 10], [1, 12], [1, 13], [2, 13], [3, 13], [4, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[8, 5]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",2,"(2, 5)","(4, 13)","(12, 7)",rect,2.0,10.0,2.0,8.0,1
69,62,test,"[1726, 1974, 2190, 2382, 2614, 2919, 3119, 3551, 3806, 4015]","[(2, 11), [3, 11], [4, 11], [5, 11], [6, 11], [6, 12], [7, 12], [6, 11], [6, 12], [6, 13], [7, 13]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0)]",[7],"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",1,"(2, 11)","(7, 13)","(13, 11)",straightLine,4.0,7.0,2.0,5.0,1
